Insitutional name ,Insitutional short forms,Team name ,Name of speaker 1,Email of speaker -1,Additional details of speaker 1,Name of speaker 2,Email of speaker 2,Additional details of speaker 2,
PES University ,PESU,PESU A,PESU A 1,adityamuralidhar37@gmail.com,Random,PESU A 2,adityamuralidhar37@gmail.com,,Random
PES University ,PESU,PESU B,PESU B 1,adityamuralidhar371@gmail.com,Random,PESU B 2,adityamuralidhar372@gmail.com,,Random
National University of Advanced Legal Studies,NUALS,NUALS A,NUALS A 1,adityamuralidhar373@gmail.com,Random,NUALS A 2,adityamuralidhar374@gmail.com,,Random
National University of Advanced Legal Studies,NUALS,NUALS B,NUALS B 1,adityamuralidhar375@gmail.com,Random,NUALS B 2,adityamuralidhar376@gmail.com,,Random
National University of Advanced Legal Studies,NUALS,NUALS C,NUALS C 1,adityamuralidhar377@gmail.com,Random,NUALS C 2,adityamuralidhar378@gmail.com,,Random
National University of Advanced Legal Studies,NUALS,NUALS D,NUALS D 1,adityamuralidhar379@gmail.com,Random,NUALS D 2,adityamuralidhar3710@gmail.com,,Random
Christ Univeristy ,Christ,Christ A,Christ A 1,adityamuralidhar3711@gmail.com,Random,Christ A 2,adityamuralidhar3712@gmail.com,,Random
Christ Univeristy ,Christ,Christ B,Christ B 1,adityamuralidhar3713@gmail.com,Random,Christ B 2,adityamuralidhar3714@gmail.com,,Random
Christ Univeristy ,Christ,Christ C,Christ C 1,adityamuralidhar3715@gmail.com,Random,Christ C 2,adityamuralidhar3716@gmail.com,,Random
Ramaiah College of Law ,RCL ,RCL A,RCL A 1,adityamuralidhar3717@gmail.com,Random,RCL A 2,adityamuralidhar3718@gmail.com,,Random
Ramaiah College of Law ,RCL ,RCL B,RCL B 1,adityamuralidhar3719@gmail.com,Random,RCL B 2,adityamuralidhar3720@gmail.com,,Random
Ramaiah College of Law ,RCL ,RCL C,RCL C 1,adityamuralidhar3721@gmail.com,Random,RCL C 2,adityamuralidhar3722@gmail.com,,Random
Ramaiah College of Law ,RCL ,RCL D,RCL D 1,adityamuralidhar3723@gmail.com,Random,RCL D 2,adityamuralidhar3724@gmail.com,,Random
Cross team ,,Weird name ,Devashish,adityamuralidhar3725@gmail.com,Random,Rito ,adityamuralidhar3726@gmail.com,,Random
