Cross Team 
Weird
Devashish, Rito
adityamuralidhar3725@gmail.com,adityamuralidhar3726@gmail.com
Christ 
Christ A
Christ A 1,Christ A 2
adityamuralidhar3711@gmail.com,adityamuralidhar3712@gmail.com
Christ B
Christ B 1,Christ B 2
adityamuralidhar3713@gmail.com,adityamuralidhar3714@gmail.com
Christ C
Christ C 1,Christ C 2
adityamuralidhar3715@gmail.com,adityamuralidhar3716@gmail.com
NUALS 
NUALS A
NUALS A 1, NUALS A 2
adityamuralidhar373@gmail.com,adityamuralidhar374@gmail.com
NUALS B
NUALS B 1, NUALS B 2
adityamuralidhar375@gmail.com,adityamuralidhar376@gmail.com
NUALS C
NUALS C 1, NUALS C 2
adityamuralidhar377@gmail.com,adityamuralidhar378@gmail.com
NUALS D
NUALS D 1, NUALS D 2
adityamuralidhar379@gmail.com,adityamuralidhar3710@gmail.com
PESU
PESU A
PESU A 1,PESU A 2
adityamuralidhar37@gmail.com,adityamuralidhar37@gmail.com
PESU B
PESU B 1,PESU B 2
adityamuralidhar371@gmail.com,adityamuralidhar372@gmail.com
RCL
RCL A
RCL A 1,RCL A 2
adityamuralidhar3717@gmail.com,adityamuralidhar3718@gmail.com
RCL B
RCL B 1,RCL B 2
adityamuralidhar3719@gmail.com,adityamuralidhar3720@gmail.com
RCL C
RCL C 1,RCL C 2
adityamuralidhar3721@gmail.com,adityamuralidhar3722@gmail.com
RCL D
RCL D 1,RCL D 2
adityamuralidhar3723@gmail.com,adityamuralidhar3724@gmail.com
